name,code,short_name,total_stores,company_owned,licensed,population,population_million,starbucks_per_million_inhabitants
Alabama,1,AL,85,49,36,4874486,4.874486,17.437736
Alaska,2,AK,49,9,40,739700,0.7397,66.2430715
Arizona,4,AZ,488,205,283,7044008,7.44008,7.808054732
Arkansas,5,AR,55,36,19,3001345,3.1345,162.5937705
California,6,CA,2821,1982,839,39358497,39.358497,71.67448493
Colorado,8,CO,481,231,250,5611885,5.611885,85.71095095
Connecticut,9,CT,123,88,35,3573297,3.573297,34.42199179
Delaware,10,DE,25,11,14,956823,0.956823,95.10640944
District of Columbia,11,DC,91,68,23,694906,0.694906,35.97608885
Florida,12,FL,694,482,212,20963613,20.963613,33.10498052
Georgia,13,GA,326,177,149,10410330,10.41033,31.31504957
Hawaii,15,HI,99,63,36,1424393,1.424393,69.50329017
Idaho,16,ID,67,34,33,1717715,1.717715,51.81301904
Illinois,17,IL,575,393,182,12778828,12.778828,5.243047328
Indiana,18,IN,221,123,98,6658078,6.658078,86.36125921
Iowa,19,IA,89,31,58,3141550,3.14155,70.34743996
Kansas,20,KS,94,41,53,2908718,2.908718,32.31664259
Kentucky,21,KY,116,54,62,4452268,4.452268,26.541369
Louisiana,22,LA,84,55,29,4670560,4.67056,17.98499538
Maine,23,ME,30,20,10,1334612,1.334612,204.5538329
Maryland,24,MD,257,142,115,6023868,6.23868,42.66361746
Massachusetts,25,MA,273,190,83,6859789,6.859789,4.373312357
Michigan,26,MI,283,132,151,9973114,9.973114,28.3762925
Minnesota,27,MN,184,88,96,5566230,5.56623,33.5648527
Mississippi,28,MS,32,16,16,2988510,2.98851,62.90760279
Missouri,29,MO,188,91,97,6106670,6.10667,5.240171812
Montana,30,MT,36,16,20,1052482,1.52482,34.20486051
Nebraska,31,NE,58,21,37,1915947,1.915947,176.4140657
Nevada,32,NV,253,118,135,2969905,2.969905,4.37724439
New Hampshire,33,NH,29,22,7,1348787,1.348787,43.16007
New Jersey,34,NJ,261,174,87,8885525,8.885525,3.26373512
New Mexico,35,NM,76,47,29,2091784,2.91784,124.7738772
New York,36,NY,645,506,139,19589572,19.589572,3.879615134
North Carolina,37,NC,338,152,186,10268233,10.268233,24.63909808
North Dakota,38,ND,13,9,4,754942,0.754942,854.3702695
Ohio,39,OH,378,180,198,11659650,11.65965,32.41949801
Oklahoma,40,OK,79,53,26,3931316,3.931316,20.9505214
Oregon,41,OR,359,204,155,4143625,4.143625,86.6391143
Pennsylvania,42,PA,357,220,137,12787641,12.787641,27.91758073
Rhode Island,44,RI,27,18,9,1055673,1.55673,25.57610169
South Carolina,45,SC,131,68,63,5021268,5.21268,26.8902771
South Dakota,46,SD,25,10,15,872868,0.872868,28.64121494
Tennessee,47,TN,180,97,83,6708799,6.708799,26.83043567
Texas,48,TX,1042,627,415,28295273,28.295273,36.82593909
Utah,49,UT,101,56,45,3101042,3.101042,32.56969754
Vermont,50,VT,8,6,2,624344,0.624344,691.9262458
Virginia,51,VA,432,246,186,8463587,8.463587,0.945225706
Washington,53,WA,757,442,315,7423362,7.423362,101.9753583
West Virginia,54,WV,25,10,15,1817004,1.817004,79.80169554
Wisconsin,55,WI,145,102,43,5790186,5.790186,4.31765059
Wyoming,56,WY,23,11,12,578931,0.578931,39.72839596
